OBJECTID_12,WellNo,WellType,District,taluk,Block,Village,Latitude,Longitude,Date,NO2+NO3,Ca,Mg,Na,K,Cl,SO4,CO3,HCO3,F,pH,EC,TH,Season,Basin,SubBasin
1,43003,Dug Well,Thanjavur,Thiruvaiyaru,Thiruvaiyaru,Thiruvaiyaru,10.88111111,79.10833333,01-01-1972,14,88,38,128,94,241,40,0,396,,,1610,375,Pre monsoon,Cauvery, Cauvery Delta
2,43015A,Dug Well,Nagapattinam,Sirkazhi,Sirkazhi,CAUVERIPOOMPATTINAM,11.14444444,79.845,01-01-1972,,48,19,55,3,39,20,0,275,,,580,200,Pre monsoon,Cauvery, Cauvery Delta
3,43016,Dug Well,Nagapattinam,Mayiladuthurai,Tharangambadi,Akkur,11.09888889,79.79305556,01-01-1972,,62,11,120,16,142,35,12,275,,,1060,200,Pre monsoon,Cauvery, Cauvery Delta
4,43017,Dug Well,Nagapattinam,Tharangambadi,Tharangambadi,Tharangambadi,11.02388889,79.85722222,01-01-1972,,24,61,339,103,320,79,42,702,,8.3,2440,310,Pre monsoon,Cauvery, Cauvery Delta
5,43019,Dug Well,Tiruvarur,Nannilam,Nannilam,Nannilam,10.88333333,79.61277778,01-01-1972,,60,17,87,10,124,35,0,275,,,1000,220,Pre monsoon,Cauvery, Cauvery Delta
6,43024,Dug Well,Nagapattinam,Vedaranyam,Vedaranyam,Voimedu,10.40972222,79.64444444,01-01-1972,,56,11,48,8,28,14,12,256,,,556,185,Pre monsoon,Cauvery, Cauvery Delta
7,43031,Dug Well,Nagapattinam,Sirkazhi,Sirkazhi,Sirkazhi,11.23888889,79.73888889,01-01-1972,,36,39,147,4,156,38,30,336,,8.6,1280,250,Pre monsoon,Cauvery, Cauvery Delta
8,43033,Dug Well,Thanjavur,Kumbakonam,Thirupanandal,Loweranaicut,11.13333333,79.45555556,01-01-1972,,46,11,74,4,53,29,36,201,,8.6,667,160,Pre monsoon,Cauvery, Cauvery Delta
9,43035,Dug Well,Thanjavur,Papanasam,Ammapettai,Ammapettai,10.79166667,79.32111111,01-01-1972,,48,10,163,12,323,58,12,24,,8.4,1330,160,Pre monsoon,Cauvery, Cauvery Delta
10,43037,Dug Well,Nagapattinam,Nagapattinam,Nagapattinam,Nagapattinam,10.77111111,79.84722222,01-01-1972,,36,27,173,68,192,43,36,336,,8.6,1390,200,Pre monsoon,Cauvery, Cauvery Delta
11,43041,Dug Well,Tiruvarur,Thiruthuraipoondi,Muthupettai,Muthupettai,10.4,79.5,01-01-1972,,58,23,179,4,202,38,24,342,,8.2,1220,240,Pre monsoon,Cauvery, Cauvery Delta
12,43047,Dug Well,Thanjavur,Papanasam,Papanasam,Papanasam,10.925,79.275,01-01-1972,,44,54,437,70,341,92,90,735,,8.5,2890,330,Pre monsoon,Cauvery, Cauvery Delta
